Gene_A	Gene_B	Weight
Q05084	Q7L592	1.6E-2
P43351	P52756	8.5E-3
Q9UBV4	Q9Y216	1.4E-2
Q9BTY2	P54819	1.4E-2
Q9P2N7	P78332	9.2E-3
O60341	P78332	4.6E-3
O60762	P46063	7.9E-3
Q9Y6D9	Q92900	8.3E-3
O60762	P05141	7.7E-3
Q9Y4W2	Q9NWR8	9.6E-3
Q6SZW1	Q9UPZ6	1.8E-2
Q96Q42	Q9H6T3	1.1E-2
P31270	Q53FZ2	1.1E-2
Q8IZE3	Q8N5Y2	8.8E-3
O14641	Q92793	9.9E-3
Q92934	Q6NTF9	1E-2
P30260	Q9P2D0	1.3E-2
O75592	Q9UKT7	1.2E-2
P28907	P20701	1.3E-2
Q9Y6X5	Q15119	1.4E-2
Q6P499	P26006	1.3E-2
P30260	P17010	1.3E-2
Q9NRC1	Q9NZC3	1.5E-2
P14209	O76009	1.2E-2
O14641	Q24JP5	8.7E-3
Q6FI81	P63010	1E-2
O75563	Q8TB22	6.1E-3
P78423	P43353	1.5E-2
P02730	Q5TAA0	2.1E-2
Q9Y4W2	O75223	7E-3
Q9NWR8	O75223	1.4E-2
Q9Y2S7	Q8N7H5	6E-3
O75592	Q8N7H5	9.6E-3
Q9P2G1	P49754	1.9E-2
P20645	P49754	2.5E-2
P19801	Q9Y6U3	1.8E-2
Q9Y6N9	Q9Y6U3	1.5E-2
O43657	P41247	2.3E-2
Q8N7H5	Q86V24	1.1E-2
Q5TH74	Q8IVW4	5.4E-3
P02730	O95045	2.7E-2
Q5TH74	Q96L34	9.2E-3
Q7L5A3	Q96L34	2.1E-2
Q8IVW4	Q96L34	9E-3
Q9Y2Y6	O43490	5.3E-3
Q9Y2S7	Q96CT7	9.4E-3
P52435	Q96CT7	1.4E-2
P28838	Q14667	6.8E-3
Q9Y6D9	Q13183	1.5E-2
P14209	O60861	1.2E-2
Q9H977	O75865	1.8E-2
P35228	P26367	2E-2
P84085	Q9UJK0	1.2E-2
Q96EN9	Q9UJK0	1.6E-2
Q9Y6D9	Q9BRB3	1.8E-2
Q92900	Q9BRB3	1.2E-2
P78332	Q96RY5	4.4E-3
Q9BQ52	Q9NVH1	9.4E-3
P08603	P31513	1.1E-2
P14209	Q8WY64	9.9E-3
Q14002	Q9Y5S8	2.5E-2
Q9UJS0	P20618	1.1E-2
P05141	P20618	9.2E-3
Q9UJK0	P20618	7E-3
P52569	Q96NX5	9E-3
Q9BTY2	O95544	1.1E-2
P35228	Q92481	2.1E-2
Q96NX5	Q92481	1.6E-2
Q76N89	Q7Z6R9	5.7E-3
Q2M3G0	Q7Z6R9	4.9E-3
Q9NYC9	Q9Y238	8.9E-3
O94812	Q9Y238	9.6E-3
P52569	O43739	8.9E-3
O75563	O43739	1.1E-2
O14628	Q9P0K1	1.1E-2
P26006	P49447	1.2E-2
Q8N7H5	O60271	1.1E-2
Q92833	Q9UDR5	5.6E-3
Q14847	Q3KR16	2.5E-2
O14641	Q8N594	9E-3
O75223	P10620	1.5E-2
O00522	Q16526	1.9E-2
Q9P299	Q14938	1.1E-2
P14209	Q11201	1.5E-2
Q8WY64	Q11201	1.7E-2
Q96HP8	P24001	1.2E-2
Q9Y216	Q13387	9E-3
Q09428	Q13387	6.7E-3
Q9UJJ7	O75448	1.4E-2
Q8IZE3	Q9P2D3	6.2E-3
Q9UKT7	Q99442	1.2E-2
O60861	O60673	8.9E-3
P08514	P23759	2.3E-2
P27169	O00187	1.4E-2
Q12887	Q8TAV0	1.7E-2
P28907	Q9Y228	9.9E-3
P05164	Q9Y228	1.2E-2
Q8N7H5	Q9UKY4	8.1E-3
Q9UQ88	Q9UKY4	1.5E-2
Q9P2G1	Q9UIG0	4.4E-3
O00522	Q9UIG0	6.8E-3
Q14667	Q9UIG0	2.6E-3
Q86V24	Q96S59	1.8E-2
O60271	Q96S59	1.9E-2
Q16526	Q96S59	1.1E-2
Q6FI81	Q9H040	8.4E-3
Q9H6R0	Q8N6R0	7.7E-3
Q9BQ52	Q8N6R0	6.5E-3
Q9NVH1	Q8N6R0	3.8E-3
O60271	Q9NR20	1.4E-2
Q9NVH1	P31930	8.1E-3
O43657	O95772	1.2E-2
Q9H6T3	O95772	4.4E-3
P41247	O95772	1E-2
Q9P2D3	O95772	6.7E-3
O14558	Q9HCP6	9.3E-3
Q8N3S3	Q15021	1.1E-2
Q9Y4D7	Q0D2I5	9.9E-3
O60673	Q0D2I5	4.4E-3
Q9NR63	Q9NS98	1.5E-2
P31323	Q9NS98	1.2E-2
Q8N7H5	Q9Y2I1	1.1E-2
Q9Y2T7	Q9BT04	6.8E-3
Q9Y6U3	Q9NSD5	6.4E-3
O00522	P98182	1.5E-2
Q96JG6	P98182	1.3E-2
Q15386	P98182	1.4E-2
Q8TCT7	P01730	1.3E-2
Q8TB22	Q53EV4	5.7E-3
O94812	Q53EV4	1.1E-2
Q9Y238	Q53EV4	8.9E-3
Q6SZW1	Q96GD3	8.3E-3
O60673	Q96GD3	5E-3
P78332	P06241	1E-2
Q9UIG0	P06241	6.6E-3
Q9NVH1	Q14241	1.2E-2
Q8N6R0	Q14241	7.8E-3
Q8WY64	Q9UBG0	8.2E-3
Q11201	Q9UBG0	1.1E-2
Q9UKZ4	Q99884	9.7E-3
Q92900	O96018	1.1E-2
Q96CT7	O96018	1.5E-2
Q9UJJ7	O96018	1.6E-2
P78332	Q9NXB0	5.8E-3
P49754	Q9NXB0	1.7E-2
Q9UIG0	Q9NXB0	4.1E-3
P50549	P23352	2.1E-2
Q9Y6D9	Q9ULX6	1.6E-2
Q92900	Q9ULX6	1.2E-2
O60341	Q05BQ5	3.4E-3
P49916	Q05BQ5	8.2E-3
P80192	Q05BQ5	3.2E-3
Q9NYQ7	Q05BQ5	3.4E-3
O14628	Q9Y5J1	2.8E-3
O75223	Q9Y5J1	3.7E-3
O75534	Q9Y5J1	5.7E-3
Q8N7H5	Q9NWF9	1E-2
O14628	Q6DKK2	9.3E-3
Q9NQ29	P26599	1.2E-2
Q99594	O43581	1.1E-2
Q96NX5	O43581	1.4E-2
Q9Y4W2	Q15031	5.4E-3
Q9H9R9	Q15031	9.3E-3
Q9NVH1	Q15031	5.9E-3
Q8N6R0	Q15031	4E-3
Q53H12	Q9NQW6	1.8E-2
Q9UIG0	Q9NQW6	5.1E-3
Q24JP5	O95785	1.1E-2
Q96RY5	O95785	5.4E-3
Q9UIG0	O95785	3E-3
Q9NXB0	O95785	7.1E-3
Q05BQ5	Q76N32	7.1E-3
P09769	O43914	9.1E-3
Q92782	P34903	1.3E-2
O43670	P38398	1.8E-2
P20366	P20273	1.5E-2
