Gene_A	Gene_B	Weight
Q9NSG2	P23511	1.8E-2
Q9Y6X5	Q9P2G1	1.1E-2
Q9BTY2	P28838	1.5E-2
Q9Y6D9	Q9Y5W9	2.2E-2
O60762	P20645	4.6E-3
P08603	P10646	2.1E-2
Q96HP8	P10646	1.5E-2
Q9H9R9	Q02790	1.4E-2
O14561	P53701	1E-2
P28838	O75563	2.1E-2
P46063	Q9NWR8	1.7E-2
Q9P2N7	P31270	1.2E-2
O60341	P49916	1.1E-2
O60762	Q9H6T3	6.8E-3
O60341	Q96IC2	6.8E-3
O75800	Q96IC2	1E-2
Q96IC2	Q6FI81	1.1E-2
Q9H2S6	P31323	1.1E-2
P02730	P05164	7.1E-3
Q5TH74	Q9H977	1.5E-2
P52756	Q8IZD2	9.3E-3
Q6P499	P57073	6.3E-3
Q9P2G1	P57073	6.9E-3
Q96JG6	O75592	1.5E-2
Q9NWR8	P20701	4.7E-3
Q8N5Y2	P20701	7.9E-3
Q9Y6X5	P13473	9.1E-3
P57073	P13473	4.9E-3
Q9Y6X5	Q9NZC3	7.5E-3
Q92934	Q96EN9	1.1E-2
Q9Y6D9	Q96EN9	1.1E-2
Q9Y5W9	Q96EN9	1.1E-2
P57073	Q9Y2Y6	2.6E-3
O75800	Q9Y2T7	8.3E-3
Q96IC2	Q9Y2T7	4.7E-3
Q9NWR8	Q99558	1.4E-2
P20701	Q99558	5.3E-3
O95153	O60359	6.5E-3
O75592	O60359	6.9E-3
O60359	P78423	8.1E-3
Q9Y2T7	Q8TB22	6.4E-3
Q9H9R9	O43497	1.5E-2
Q9H9R9	P80192	1.8E-2
P09769	Q6ZMT4	1.1E-2
P30260	Q6ZMT4	2E-2
Q96Q42	P50549	1.5E-2
O76009	O94887	1.2E-2
P57073	Q9Y6N9	4.6E-3
P05141	O75223	1.6E-2
Q9UKG9	O75223	1.8E-2
Q9NSG2	Q9UBU7	6.7E-3
P23511	Q9UBU7	8.2E-3
Q96IC2	Q9UBU7	4.6E-3
Q6ZMT4	O00458	1.8E-2
Q9Y4W2	Q8N7H5	1.3E-2
Q9Y2S7	Q9BQ52	1E-2
Q53FZ2	P51689	2.1E-2
P52435	P41247	1.7E-2
Q9BZF2	Q9UKX3	1E-2
Q9BQ52	Q9UKX3	7E-3
P57073	Q86V24	2.3E-3
P13473	Q86V24	1E-2
Q9Y2Y6	Q86V24	5.3E-3
P02730	Q3KPI0	1.3E-2
Q9NR63	P35228	1.7E-2
P20645	Q14667	1.6E-2
P19801	Q13183	8.9E-3
Q9Y5W9	O75865	1.6E-2
O60359	P42679	4.2E-3
Q8N3S3	P35499	1.4E-2
Q96Q42	P26367	1.1E-2
P50549	P26367	8.8E-3
Q92934	Q9UJJ7	9.1E-3
P35228	Q9UJJ7	7.4E-3
Q9Y258	Q96CC6	2.5E-2
Q9H977	O94812	9E-3
Q9UJJ7	Q9UJK0	9.8E-3
Q9Y2S7	Q9NVH1	1.1E-2
P27169	P31513	4.1E-3
P21439	P31513	7.1E-3
P02730	Q14209	1.2E-2
Q76N89	P17600	9.6E-3
P80192	P17600	9.1E-3
O60359	Q96NX5	4.3E-3
P17600	Q96NX5	4E-3
Q13183	Q92481	1.6E-2
Q9NYC9	Q9Y238	1.6E-2
