Gene_A	Gene_B	Weight
O60762	O00522	1.2E-2
Q6P499	Q9Y6D9	5.3E-3
P19801	Q9Y6D9	6E-3
P09769	Q92851	1.5E-2
P14209	P10646	4.5E-3
P13569	Q9Y216	2E-2
P14209	Q9Y4D7	3.4E-3
P10646	Q9Y4D7	5.6E-3
O60762	P54819	1.4E-2
Q9Y4W2	P78332	7.4E-3
P52756	P78332	1.8E-2
O60762	P46063	1.3E-2
P19801	P30988	1.9E-2
P46063	O75563	1.2E-2
P84085	P52435	1.6E-2
P05164	P16383	7.6E-3
P31323	Q9UKG9	1.7E-2
Q53FZ2	P21439	1.4E-2
O95153	Q15119	1.9E-2
P30988	P26006	1.1E-2
O60762	P17010	1.3E-2
P05141	P17010	1.2E-2
P08603	P13473	9.9E-3
O75563	P13473	1E-2
Q9Y6D9	Q9Y574	8.1E-3
P28907	O75462	1.9E-2
Q9Y6D9	O76009	3.5E-3
P08514	Q99558	1.5E-2
Q9Y6D9	Q09428	8.3E-3
O75800	O43497	7.1E-3
P20366	P80192	1.8E-2
P52435	P11233	2E-2
P31323	P11233	1.4E-2
Q6SZW1	O94887	1.3E-2
Q05084	O75223	1.3E-2
P49916	O75223	1.8E-2
Q92851	P21731	1.9E-2
Q9Y4D7	P21731	8.1E-3
O00522	O00458	1.8E-2
P31323	O00458	1.4E-2
P11233	O00458	1.8E-2
Q12887	Q9BQ52	2E-2
Q96IC2	Q86V24	1.4E-2
Q9Y6D9	Q13183	4.2E-3
Q14847	O60861	1.4E-2
O43490	O60861	8E-3
Q9Y4W2	O75865	1.1E-2
P20701	P40259	9.3E-3
P02730	P35499	1.1E-2
O14559	P26367	1.6E-2
P26006	O94812	1.5E-2
P84085	Q9UJK0	1.6E-2
P84085	Q9BRB3	1.4E-2
Q9UJK0	Q9BRB3	2E-2
P14209	Q99594	5.9E-3
Q9Y4D7	Q99594	7.1E-3
P50221	P16581	1.5E-2
Q6SZW1	Q9NVH1	1.2E-2
O60341	Q9NVH1	1E-2
P78423	P31513	1.8E-2
O14561	P20618	1.4E-2
Q9Y6D9	P17600	4.3E-3
Q9GZN4	P17600	1.5E-2
O60341	Q92833	8E-3
Q92793	Q92833	9.8E-3
Q9NYC9	Q96NX5	1.8E-2
Q14847	O95544	1.7E-2
Q6P499	Q9Y238	5.4E-3
P19801	Q9Y238	6.4E-3
P35499	Q9Y238	4.2E-3
Q9Y5S8	Q9Y238	5.9E-3
Q8N3S3	O43739	1.8E-2
Q96NX5	Q9P0K1	1.6E-2
P08603	Q16563	6.9E-3
O15519	Q16563	1E-2
P54819	Q16563	9.6E-3
O75563	Q16563	6.9E-3
P13473	Q16563	7.8E-3
P42679	Q9NYQ7	2.4E-2
P05164	Q11201	1.4E-2
Q14847	P24001	1.6E-2
P02730	Q13387	8.2E-3
Q76N89	O75448	1.5E-2
Q9NVH1	O75448	1.6E-2
P80192	Q9BYZ6	1.8E-2
O00458	O60673	1.1E-2
Q9UPZ6	Q9UKZ4	1.6E-2
