Preferred_Name	Name	Source
O43657	ENSG00000000003	Ensembl Gene ID
O43657	ENSP00000362111	Ensembl Protein ID
O43657	ENSP00000482130	Ensembl Protein ID
O43657	ENSP00000482894	Ensembl Protein ID
O43657	7105	Entrez Gene ID
O43657	TSPAN6	Gene Name
O43657	NP_001265669	RefSeq Protein ID
O43657	NP_001265670	RefSeq Protein ID
O43657	NP_001265671	RefSeq Protein ID
O43657	NP_001265672	RefSeq Protein ID
O43657	NP_003261	RefSeq Protein ID
O43657	NM_001278740	Synonym
O43657	NM_001278741	Synonym
O43657	NM_001278742	Synonym
O43657	NM_001278743	Synonym
O43657	NM_003270	Synonym
O43657	T245	Uniprot ID
O43657	TM4SF6	Uniprot ID
O43657	TSPAN-6	Uniprot ID
O43657	O43657	Ensembl Gene ID
Q9H2S6	ENSG00000000005	Ensembl Gene ID
Q9H2S6	ENSP00000362122	Ensembl Protein ID
Q9H2S6	64102	Entrez Gene ID
Q9H2S6	TNMD	Gene Name
Q9H2S6	NP_071427	RefSeq Protein ID
Q9H2S6	NM_022144	Synonym
Q9H2S6	BRICD4	Uniprot ID
Q9H2S6	ChM1L	Uniprot ID
Q9H2S6	myodulin	Uniprot ID
Q9H2S6	TEM	Uniprot ID
Q9H2S6	tendin	Uniprot ID
Q9H2S6	Q9H2S6	Ensembl Gene ID
O60762	ENSG00000000419	Ensembl Gene ID
O60762	ENSP00000360638	Ensembl Protein ID
O60762	ENSP00000360640	Ensembl Protein ID
O60762	ENSP00000360644	Ensembl Protein ID
O60762	ENSP00000394921	Ensembl Protein ID
O60762	8813	Entrez Gene ID
O60762	DPM1	Gene Name
O60762	NP_001303963	RefSeq Protein ID
O60762	NP_001303964	RefSeq Protein ID
O60762	NP_001303965	RefSeq Protein ID
O60762	NP_003850	RefSeq Protein ID
O60762	NM_001317034	Synonym
O60762	NM_001317035	Synonym
O60762	NM_001317036	Synonym
O60762	NM_003859	Synonym
O60762	CDGIE	Uniprot ID
O60762	MPDS	Uniprot ID
O60762	O60762	Ensembl Gene ID
Q8IZE3	ENSG00000000457	Ensembl Gene ID
Q8IZE3	ENSP00000356744	Ensembl Protein ID
Q8IZE3	ENSP00000356745	Ensembl Protein ID
Q8IZE3	ENSP00000356746	Ensembl Protein ID
Q8IZE3	ENSP00000407993	Ensembl Protein ID
Q8IZE3	57147	Entrez Gene ID
Q8IZE3	SCYL3	Gene Name
Q8IZE3	NP_065156	RefSeq Protein ID
Q8IZE3	NP_851607	RefSeq Protein ID
Q8IZE3	NM_020423	Synonym
Q8IZE3	NM_181093	Synonym
Q8IZE3	PACE-1	Uniprot ID
Q8IZE3	PACE1	Uniprot ID
Q8IZE3	Q8IZE3	Ensembl Gene ID
Q9NSG2	ENSG00000000460	Ensembl Gene ID
Q9NSG2	ENSP00000286031	Ensembl Protein ID
Q9NSG2	ENSP00000352276	Ensembl Protein ID
Q9NSG2	ENSP00000389257	Ensembl Protein ID
Q9NSG2	ENSP00000489730	Ensembl Protein ID
Q9NSG2	ENSP00000490194	Ensembl Protein ID
Q9NSG2	ENSP00000490333	Ensembl Protein ID
Q9NSG2	ENSP00000490589	Ensembl Protein ID
Q9NSG2	ENSP00000490772	Ensembl Protein ID
Q9NSG2	55732	Entrez Gene ID
Q9NSG2	C1orf112	Gene Name
Q9NSG2	NP_001306976	RefSeq Protein ID
Q9NSG2	NP_001306977	RefSeq Protein ID
Q9NSG2	NP_001306979	RefSeq Protein ID
Q9NSG2	NP_001306980	RefSeq Protein ID
Q9NSG2	NP_001350668	RefSeq Protein ID
Q9NSG2	NP_001353697	RefSeq Protein ID
Q9NSG2	NP_001353698	RefSeq Protein ID
Q9NSG2	NP_001353699	RefSeq Protein ID
Q9NSG2	NP_001353700	RefSeq Protein ID
Q9NSG2	NP_001353701	RefSeq Protein ID
Q9NSG2	NP_001353702	RefSeq Protein ID
Q9NSG2	NM_001320047	Synonym
Q9NSG2	NM_001320048	Synonym
Q9NSG2	NM_001320050	Synonym
Q9NSG2	NM_001320051	Synonym
Q9NSG2	NM_001363739	Synonym
Q9NSG2	NM_001366768	Synonym
Q9NSG2	NM_001366769	Synonym
Q9NSG2	NM_001366770	Synonym
Q9NSG2	NM_001366771	Synonym
Q9NSG2	NM_001366772	Synonym
Q9NSG2	NM_001366773	Synonym
Q9NSG2	FLJ10706	Uniprot ID
Q9NSG2	Q9NSG2	Ensembl Gene ID
P09769	ENSG00000000938	Ensembl Gene ID
P09769	ENSP00000363115	Ensembl Protein ID
P09769	ENSP00000363116	Ensembl Protein ID
P09769	ENSP00000363117	Ensembl Protein ID
P09769	ENSP00000382126	Ensembl Protein ID
P09769	ENSP00000407670	Ensembl Protein ID
P09769	2268	Entrez Gene ID
P09769	FGR	Gene Name
P09769	NP_001036194	RefSeq Protein ID
P09769	NP_001036212	RefSeq Protein ID
P09769	NP_005239	RefSeq Protein ID
P09769	NM_001042729	Synonym
P09769	NM_001042747	Synonym
P09769	NM_005248	Synonym
P09769	c-fgr	Uniprot ID
P09769	p55c-fgr	Uniprot ID
P09769	SRC2	Uniprot ID
P09769	P09769	Ensembl Gene ID
P08603	ENSG00000000971	Ensembl Gene ID
P08603	ENSP00000352658	Ensembl Protein ID
P08603	ENSP00000356399	Ensembl Protein ID
P08603	ENSP00000487250	Ensembl Protein ID
P08603	3075	Entrez Gene ID
P08603	CFH	Gene Name
P08603	NP_000177	RefSeq Protein ID
